CourseCategory,Month,ForecastMonth,PastEnrollmentCount,CurrentRevenue,PastAverageRevenue,TargetCategoryRevenue,CourseCount,AverageCoursePrice,AverageCourseRating,MonthNumber,RevenuePerEnrollment
Artificial Intelligence,2025-01,2025-02,80,21094.54,21094.54,19459.260000000002,5,248.82,3.036,2,263.68175
Artificial Intelligence,2025-02,2025-03,81,19459.260000000002,20276.899999999998,21025.149999999998,5,248.82,3.036,3,240.2377777777778
Artificial Intelligence,2025-03,2025-04,84,21025.149999999998,20526.316666666666,15798.310000000001,5,248.82,3.036,4,250.29940476190473
Artificial Intelligence,2025-04,2025-05,61,15798.310000000001,19344.315000000002,13702.17,5,248.82,3.036,5,258.9886885245902
Artificial Intelligence,2025-05,2025-06,63,13702.17,18215.886,17239.39,5,248.82,3.036,6,217.4947619047619
Artificial Intelligence,2025-06,2025-07,69,17239.39,18053.136666666665,16032.59,5,248.82,3.036,7,249.84623188405797
Artificial Intelligence,2025-07,2025-08,66,16032.59,17764.487142857142,12370.91,5,248.82,3.036,8,242.9180303030303
Artificial Intelligence,2025-08,2025-09,63,12370.91,17090.29,13590.21,5,248.82,3.036,9,196.3636507936508
Artificial Intelligence,2025-09,2025-10,54,13590.21,16701.39222222222,16260.02,5,248.82,3.036,10,251.67055555555555
Artificial Intelligence,2025-10,2025-11,59,16260.02,16657.254999999997,20494.989999999998,5,248.82,3.036,11,275.5935593220339
Artificial Intelligence,2025-11,2025-12,79,20494.989999999998,17006.14,15683.130000000001,5,248.82,3.036,12,259.4302531645569
Business,2025-01,2025-02,82,18028.329999999998,18028.329999999998,12579.029999999999,5,219.798,2.6879999999999997,2,219.85768292682926
Business,2025-02,2025-03,61,12579.029999999999,15303.68,16316.05,5,219.798,2.6879999999999997,3,206.21360655737703
Business,2025-03,2025-04,81,16316.05,15641.136666666667,17095.92,5,219.798,2.6879999999999997,4,201.43271604938272
Business,2025-04,2025-05,77,17095.92,16004.832499999999,10504.44,5,219.798,2.6879999999999997,5,222.02493506493505
Business,2025-05,2025-06,55,10504.44,14904.753999999999,15833.05,5,219.798,2.6879999999999997,6,190.98981818181818
Business,2025-06,2025-07,72,15833.05,15059.47,18356.57,5,219.798,2.6879999999999997,7,219.9034722222222
Business,2025-07,2025-08,71,18356.57,15530.484285714287,10173.74,5,219.798,2.6879999999999997,8,258.54323943661973
Business,2025-08,2025-09,53,10173.74,14860.891249999999,16361.94,5,219.798,2.6879999999999997,9,191.95735849056604
Business,2025-09,2025-10,72,16361.94,15027.674444444445,18680.37,5,219.798,2.6879999999999997,10,227.24916666666667
Business,2025-10,2025-11,75,18680.37,15392.944,12985.01,5,219.798,2.6879999999999997,11,249.0716
Business,2025-11,2025-12,71,12985.01,15174.040909090909,14613.130000000001,5,219.798,2.6879999999999997,12,182.8874647887324
Cybersecurity,2025-01,2025-02,59,4731.12,4731.12,3942.6,5,78.852,2.902,2,80.18847457627119
Cybersecurity,2025-02,2025-03,61,3942.6,4336.86,3548.34,5,78.852,2.902,3,64.6327868852459
Cybersecurity,2025-03,2025-04,62,3548.34,4074.02,5125.38,5,78.852,2.902,4,57.23129032258065
Cybersecurity,2025-04,2025-05,69,5125.38,4336.860000000001,3942.6,5,78.852,2.902,5,74.28086956521739
Cybersecurity,2025-05,2025-06,67,3942.6,4258.008,5913.9,5,78.852,2.902,6,58.84477611940299
Cybersecurity,2025-06,2025-07,75,5913.9,4533.990000000001,3548.34,5,78.852,2.902,7,78.85199999999999
Cybersecurity,2025-07,2025-08,72,3548.34,4393.182857142857,6308.16,5,78.852,2.902,8,49.2825
Cybersecurity,2025-08,2025-09,80,6308.16,4632.555,5913.9,5,78.852,2.902,9,78.852
Cybersecurity,2025-09,2025-10,73,5913.9,4774.926666666666,1971.3,5,78.852,2.902,10,81.01232876712328
Cybersecurity,2025-10,2025-11,60,1971.3,4494.564,8279.46,5,78.852,2.902,11,32.855
Cybersecurity,2025-11,2025-12,74,8279.46,4838.645454545454,5913.9,5,78.852,2.902,12,111.88459459459459
Data Science,2025-01,2025-02,75,5552.67,5552.67,5969.92,5,83.45,3.316,2,74.0356
Data Science,2025-02,2025-03,69,5969.92,5761.295,7103.99,5,83.45,3.316,3,86.52057971014493
Data Science,2025-03,2025-04,82,7103.99,6208.86,8184.59,5,83.45,3.316,4,86.6340243902439
Data Science,2025-04,2025-05,80,8184.59,6702.7925000000005,8837.2,5,83.45,3.316,5,102.30737500000001
Data Science,2025-05,2025-06,85,8837.2,7129.674000000001,5520.450000000001,5,83.45,3.316,6,103.96705882352941
Data Science,2025-06,2025-07,73,5520.450000000001,6861.469999999999,4878.58,5,83.45,3.316,7,75.62260273972603
Data Science,2025-07,2025-08,82,4878.58,6578.200000000001,5434.99,5,83.45,3.316,8,59.494878048780485
Data Science,2025-08,2025-09,67,5434.99,6435.29875,7991.96,5,83.45,3.316,9,81.11925373134328
Data Science,2025-09,2025-10,85,7991.96,6608.261111111111,5124.68,5,83.45,3.316,10,94.02305882352941
Data Science,2025-10,2025-11,64,5124.68,6459.903,6012.65,5,83.45,3.316,11,80.073125
Data Science,2025-11,2025-12,73,6012.65,6419.243636363636,6440.639999999999,5,83.45,3.316,12,82.36506849315067
Design,2025-01,2025-02,49,3040.07,3040.07,3869.1800000000003,5,55.274,3.162,2,62.042244897959186
Design,2025-02,2025-03,61,3869.1800000000003,3454.625,4421.92,5,55.274,3.162,3,63.429180327868856
Design,2025-03,2025-04,64,4421.92,3777.056666666667,3592.81,5,55.274,3.162,4,69.0925
Design,2025-04,2025-05,76,3592.81,3730.995,4698.29,5,55.274,3.162,5,47.27381578947368
Design,2025-05,2025-06,68,4698.29,3924.454,3592.81,5,55.274,3.162,6,69.0925
Design,2025-06,2025-07,82,3592.81,3869.1800000000003,2210.96,5,55.274,3.162,7,43.814756097560974
Design,2025-07,2025-08,77,2210.96,3632.2914285714287,4145.55,5,55.274,3.162,8,28.713766233766233
Design,2025-08,2025-09,64,4145.55,3696.44875,2763.7,5,55.274,3.162,9,64.77421875
Design,2025-09,2025-10,70,2763.7,3592.81,3592.81,5,55.274,3.162,10,39.481428571428566
Design,2025-10,2025-11,66,3592.81,3592.81,3869.1800000000003,5,55.274,3.162,11,54.43651515151515
Design,2025-11,2025-12,72,3869.1800000000003,3617.9345454545455,3316.44,5,55.274,3.162,12,53.73861111111111
Digital Marketing,2025-01,2025-02,65,5810.9,5810.9,3295.18,5,77.946,3.656,2,89.39846153846153
Digital Marketing,2025-02,2025-03,69,3295.18,4553.04,4816.96,5,77.946,3.656,3,47.75623188405797
Digital Marketing,2025-03,2025-04,78,4816.96,4641.013333333333,5031.4400000000005,5,77.946,3.656,4,61.75589743589744
Digital Marketing,2025-04,2025-05,68,5031.4400000000005,4738.62,5243.83,5,77.946,3.656,5,73.99176470588236
Digital Marketing,2025-05,2025-06,62,5243.83,4839.662,7227.53,5,77.946,3.656,6,84.57790322580645
Digital Marketing,2025-06,2025-07,84,7227.53,5237.64,5278.88,5,77.946,3.656,7,86.04202380952381
Digital Marketing,2025-07,2025-08,57,5278.88,5243.5314285714285,3614.81,5,77.946,3.656,8,92.6119298245614
Digital Marketing,2025-08,2025-09,70,3614.81,5039.94125,5031.4400000000005,5,77.946,3.656,9,51.640142857142855
Digital Marketing,2025-09,2025-10,69,5031.4400000000005,5038.996666666667,3045.65,5,77.946,3.656,10,72.91942028985508
Digital Marketing,2025-10,2025-11,52,3045.65,4839.662,5313.93,5,77.946,3.656,11,58.57019230769231
Digital Marketing,2025-11,2025-12,75,5313.93,4882.777272727273,2550.77,5,77.946,3.656,12,70.8524
Finance,2025-01,2025-02,75,1944.44,1944.44,2032.26,5,34.58,3.0100000000000002,2,25.925866666666668
Finance,2025-02,2025-03,65,2032.26,1988.35,2259.0200000000004,5,34.58,3.0100000000000002,3,31.265538461538462
Finance,2025-03,2025-04,63,2259.0200000000004,2078.5733333333337,1706.3600000000001,5,34.58,3.0100000000000002,4,35.85746031746032
Finance,2025-04,2025-05,70,1706.3600000000001,1985.52,1986.98,5,34.58,3.0100000000000002,5,24.37657142857143
Finance,2025-05,2025-06,70,1986.98,1985.8120000000001,3642.2200000000003,5,34.58,3.0100000000000002,6,28.385428571428573
Finance,2025-06,2025-07,79,3642.2200000000003,2261.88,2777.7200000000003,5,34.58,3.0100000000000002,7,46.104050632911395
Finance,2025-07,2025-08,82,2777.7200000000003,2335.5714285714284,2896.76,5,34.58,3.0100000000000002,8,33.874634146341464
Finance,2025-08,2025-09,76,2896.76,2405.7200000000003,2324.2,5,34.58,3.0100000000000002,9,38.11526315789474
Finance,2025-09,2025-10,74,2324.2,2396.662222222222,2094.7000000000003,5,34.58,3.0100000000000002,10,31.408108108108106
Finance,2025-10,2025-11,72,2094.7000000000003,2366.4660000000003,2355.42,5,34.58,3.0100000000000002,11,29.09305555555556
Finance,2025-11,2025-12,67,2355.42,2365.4618181818187,2086.12,5,34.58,3.0100000000000002,12,35.1555223880597
Machine Learning,2025-01,2025-02,70,13.26,13.26,7.800000000000001,5,0.156,2.6580000000000004,2,0.18942857142857142
Machine Learning,2025-02,2025-03,56,7.800000000000001,10.530000000000001,15.600000000000001,5,0.156,2.6580000000000004,3,0.1392857142857143
Machine Learning,2025-03,2025-04,62,15.600000000000001,12.22,12.48,5,0.156,2.6580000000000004,4,0.2516129032258065
Machine Learning,2025-04,2025-05,68,12.48,12.285,11.700000000000001,5,0.156,2.6580000000000004,5,0.18352941176470589
