Task,Model,MAE,RMSE,R2,TrainRows,TestRows
Enrollment Demand,Ridge Regression,2.7788857635315187,3.6516921391644255,0.013810627540366438,540,120
Enrollment Demand,Linear Regression,2.7894898405403117,3.652571663482122,0.013335515204766057,540,120
Enrollment Demand,Lasso Regression,2.7650241742231234,3.661499416071218,0.008506335933696096,540,120
Enrollment Demand,Random Forest,2.9003623805014427,3.7599091149813857,-0.04550640879071821,540,120
Enrollment Demand,Gradient Boosting,2.8282377932799894,3.813846148655061,-0.07571777257986967,540,120
Course Revenue,Ridge Regression,256.1691764306008,536.7384513939712,0.9409222916400516,540,120
Course Revenue,Lasso Regression,259.25190351331617,539.3028822716193,0.9403564196799028,540,120
Course Revenue,Linear Regression,259.2953231564314,540.0639900527747,0.9401879532123493,540,120
Course Revenue,Gradient Boosting,236.48326285777486,585.2406223036487,0.9297628065201775,540,120
Course Revenue,Random Forest,279.33618598337563,640.7682308057935,0.9158023121247414,540,120
Category Revenue,Ridge Regression,910.9799122342978,1539.612304003655,0.9329374809964279,108,24
Category Revenue,Lasso Regression,959.2540648158907,1579.6290842556814,0.9294060701774737,108,24
Category Revenue,Linear Regression,959.58619274252,1579.9466292932343,0.9293776850261942,108,24
Category Revenue,Random Forest,1049.0949207399124,1804.7564718358778,0.9078502138299511,108,24
Category Revenue,Gradient Boosting,1322.9672312715254,2307.387815765679,0.8493745678056934,108,24
